日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交量
2013-11-1,300226,上海钢联,28.44,28.44,24.98,25.79,6194544
2013-10-31,300226,上海钢联,25.85,26.5,25.21,26.11,2233303
2013-10-30,300226,上海钢联,26.98,27.68,26.24,26.63,2591020
2013-10-29,'300226,上海钢联,26.68,28.59,25.81,28.35,4441879
2013-10-28,'300226,上海钢联,28.68,28.98,28,28.2,2846064
2013-10-25,'300226,上海钢联,28.38,29.16,26.78,28.97,4085209
2013-10-24,'300226,上海钢联,28.78,30.13,28.73,29.11,3878434
2013-10-23,'300226,上海钢联,29.55,30.92,28.45,30.92,5254538
2013-10-22,'300226,上海钢联,31.61,35.18,31.61,35.15,4566519
2013-10-21,'300226,上海钢联,35.12,35.18,34.02,34.3,2896594
2013-10-18,'300226,上海钢联,34.48,35,34.1,34.1,1978152
2013-10-17,'300226,上海钢联,33.83,35.36,33.6,34.7,3338226
2013-10-16,'300226,上海钢联,34.05,36.97,33.42,36.61,4202124
2013-10-15,'300226,上海钢联,37.02,40,36.3,40,5997163
2013-10-14,'300226,上海钢联,40.28,41.16,39.01,40.02,2645888
2013-10-11,'300226,上海钢联,40.12,41.88,39.41,39.9,3951568
2013-10-10,'300226,上海钢联,41.1,45.67,40.5,42.79,6350878
2013-10-9,'300226,上海钢联,42.55,43.28,40.04,40.21,5507859
2013-10-8,'300226,上海钢联,40.6,42.59,39.51,41.5,4699457
2013-9-30,'300226,上海钢联,42.4,44.2,41.21,41.86,5893876
2013-9-27,'300226,上海钢联,42.4,42.5,38.1,39.5,5943909
2013-9-26,'300226,上海钢联,38.95,41.25,38.91,40,4111087
2013-9-25,'300226,上海钢联,40.15,42.31,40.1,41,6196011
2013-9-24,'300226,上海钢联,41.9,43.8,41.02,42.4,7514392
2013-9-23,'300226,上海钢联,42.99,45.98,42.1,42.84,8568045
2013-9-18,'300226,上海钢联,42.84,44,41,43,8828267
2013-9-17,'300226,上海钢联,42.86,42.86,39.5,40.5,12794282
2013-9-16,'300226,上海钢联,38.96,38.96,34.3,34.3,6975010
2013-9-13,'300226,上海钢联,35.42,36.67,33.2,33.81,5037422
2013-9-12,'300226,上海钢联,34.45,35.47,33.01,33.37,4499811
2013-9-11,'300226,上海钢联,33.57,37,33.57,36.7,5496405
2013-9-10,'300226,上海钢联,37.3,39.48,36.64,38.7,5590118
2013-9-9,'300226,上海钢联,38.62,39.57,36.55,37.52,6906723
2013-9-6,'300226,上海钢联,38.24,40.18,37.3,38.53,7323427
2013-9-5,'300226,上海钢联,38.92,40.79,37.42,37.47,7554639
2013-9-4,'300226,上海钢联,38.7,40.93,36.88,37.37,9429503
2013-9-3,'300226,上海钢联,38.17,38.17,33.71,33.99,8210293
2013-9-2,'300226,上海钢联,34.7,35.97,32.11,34.1,6384540
2013-8-30,'300226,上海钢联,35.1,38.7,35.1,37.61,6624001
2013-8-29,'300226,上海钢联,39,40.4,37.5,38.9,8435634
2013-8-28,'300226,上海钢联,39.1,42.5,37.5,38.6,10350714
2013-8-27,'300226,上海钢联,38.94,38.94,34.63,34.76,10037839
2013-8-26,'300226,上海钢联,35.4,36.65,34.68,35.26,6354484
2013-8-23,'300226,上海钢联,36.11,37.9,35.01,35.38,8622267
